#Distance(A)    Macroscopic-Average    Planar-Average
 67.5850            -3.40427            -8.80548
 67.6857            -3.40423            -8.43556
 67.7865            -3.40386            -7.70029
 67.8872            -3.40248            -6.64481
 67.9879            -3.39920            -5.34721
 68.0886            -3.39311            -3.90883
 68.1893            -3.38346            -2.46868
 68.2901            -3.36975            -1.13138
 68.3908            -3.35182            -0.13702
 68.4915            -3.32991             0.24439
 68.5922            -3.30474             0.00231
 68.6930            -3.27747            -0.68836
 68.7937            -3.24968            -1.52505
 68.8944            -3.22322            -2.18680
 68.9951            -3.19999            -2.58501
 69.0959            -3.18176            -2.77524
 69.1966            -3.16990            -2.82489
 69.2973            -3.16529            -2.82999
 69.3980            -3.16829            -2.82660
 69.4987            -3.17866            -2.79111
 69.5995            -3.19560            -2.63273
 69.7002            -3.21781            -2.27659
 69.8009            -3.24361            -1.66417
 69.9016            -3.27109            -0.83952
 70.0024            -3.29838            -0.09520
 70.1031            -3.32384             0.24629
 70.2038            -3.34621            -0.01333
 70.3045            -3.36471            -0.90913
 70.4053            -3.37899            -2.20730
 70.5060            -3.38917            -3.63706
 70.6067            -3.39567            -5.08524
 70.7074            -3.39921            -6.41826
 70.8081            -3.40069            -7.52419
 70.9089            -3.40099            -8.32333
 71.0096            -3.40087            -8.76232
 71.1103            -3.40077            -8.81609
 71.2110            -3.40075            -8.47945
 71.3118            -3.40046            -7.77510
 71.4125            -3.39922            -6.74474
 71.5132            -3.39616            -5.46517
 71.6139            -3.39037            -4.03341
 71.7146            -3.38108            -2.58926
 71.8154            -3.36776            -1.23651
 71.9161            -3.35022            -0.19872
 72.0168            -3.32867             0.24079
 72.1175            -3.30376             0.04819
 72.2183            -3.27664            -0.61339
 72.3190            -3.24885            -1.45184
 72.4197            -3.22222            -2.13665
 72.5204            -3.19866            -2.55594
 72.6212            -3.17995            -2.76239
 72.7219            -3.16751            -2.82031
 72.8226            -3.16228            -2.82686
 72.9233            -3.16464            -2.82424
 73.0240            -3.17440            -2.79454
 73.1248            -3.19084            -2.65073
 73.2255            -3.21268            -2.31418
 73.3262            -3.23827            -1.72581
 73.4269            -3.26571            -0.91104
 73.5277            -3.29311            -0.14518
 73.6284            -3.31881             0.24124
 73.7291            -3.34152             0.03911
 73.8298            -3.36040            -0.80663
 73.9305            -3.37509            -2.08274
 74.0313            -3.38564            -3.50672
 74.1320            -3.39246            -4.95778
 74.2327            -3.39626            -6.30652
 74.3334            -3.39791            -7.43552
 74.4342            -3.39831            -8.26458
 74.5349            -3.39824            -8.73618
 74.6356            -3.39816            -8.82466
 74.7363            -3.39817            -8.52141
 74.8371            -3.39795            -7.84838
 74.9378            -3.39686            -6.84368
 75.0385            -3.39403            -5.58289
 75.1392            -3.38855            -4.15888
 75.2399            -3.37962            -2.71145
 75.3407            -3.36670            -1.34491
 75.4414            -3.34956            -0.26630
 75.5421            -3.32836             0.23127
 75.6428            -3.30375             0.08929
 75.7436            -3.27680            -0.54082
 75.8443            -3.24903            -1.37834
 75.9450            -3.22225            -2.08529
 76.0457            -3.19838            -2.52634
 76.1465            -3.17922            -2.74931
 76.2472            -3.16622            -2.81646
 76.3479            -3.16036            -2.82462
 76.4486            -3.16209            -2.82281
 76.5493            -3.17126            -2.79805
 76.6501            -3.18719            -2.66832
 76.7508            -3.20866            -2.35077
